is_goal,play_pattern.name,position.name,shot.type.name,shot.technique.name,shot.body_part.name,location.x,location.y,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea
0,From Throw In,Right Center Forward,Open Play,Normal,Left Foot,104.5,30.9,117,37.9,17.973869922751753,3.6619666847201118,59.582942329484055,55.00797980144132,4.574962528042732,12.702591826560923,14.326548781894402,1.5926610432461383,0.7980868844676249,1.2529964086141625,3.3376638536557244,3,7,1,2,68.36999999999995
0,From Throw In,Right Back,Open Play,Normal,Left Foot,93.1,42.3,118.2,40.5,26.99814808463722,1.8681541692269377,94.88700983492149,105.52411099675429,10.637101161832803,19.802825780877548,25.164459064323246,0.9942042389932865,0.09255689080117752,2.1540659228538006,10.804165863221476,6,9,1,2,31.320000000000064
0,From Free Kick,Left Wing,Open Play,Normal,Head,111.8,30.9,117.4,37.4,12.249489785293102,3.6769552621700443,42.021979348050266,44.99999999999992,2.978020651949656,10.820278634156297,8.579627031520666,0,0,-2.308679276123043,-8.709190547921205,0,0,0,1,158.39999999999998
0,From Corner,Left Wing,Open Play,Normal,Right Foot,94.3,33.1,118.1,40,26.610148440021902,1.9000000000000057,74.97149493207273,90,15.02850506792727,28.247289076018532,24.78003228407905,0.7999899979467688,0.2896812027332745,4.805205510693588,8.784645695758034,6,8,2,2,157.08000000000007
1,From Free Kick,Center Defensive Midfield,Open Play,Normal,Left Foot,103.1,37.9,117.9,39.2,17.029973576021785,2.247220505424417,82.91671400024744,69.14554196042167,13.771172039825771,27.48853187298527,14.856984889270109,0.6869043424318699,0.6432112174171116,4.729693436154196,6.449806198638845,4,6,5,2,163.49999999999997
0,From Counter,Right Center Forward,Open Play,Normal,Right Foot,87.8,47.8,117.9,40.6,33.131254126579634,2.1840329667841507,103.61680894364095,105.94539590092295,2.328586957281999,20.20263830087081,30.949151846213823,0.9316522075647675,0.44499415948998344,2.24722050542443,6.3126856408346494,1,6,1,2,123.19999999999982
1,From Throw In,Right Wing,Open Play,Normal,Left Foot,109.2,44.3,118.6,40.8,11.624543001770002,1.6124515496597134,111.70988275987123,119.74488129694201,8.034998537070777,19.71398861896959,10.030453628824564,0.8118115317291396,0.48630415327148657,3.080584360149871,6.184658438426492,3,7,2,1,21.099999999999998
0,From Free Kick,Center Attacking Midfield,Free Kick,Normal,Left Foot,90.1,41.2,118.5,39.6,29.9240705787164,1.552417469626002,92.29826274454497,75.06858282186249,17.22967992268248,26.42360664590618,28.44503471609765,0.7794295038978352,0.41069288748247224,8.935882720806049,9.198369420718002,6,9,4,2,10.800000000000068
0,Regular Play,Left Wing,Open Play,Normal,Right Foot,98.8,62.6,117.9,41.5,30.98709408770045,2.5806975801127834,136.8307486480255,125.53767779197446,11.293070856051031,24.42017258133025,28.460850303530997,0.6405103006127966,0.1017182947396324,4.743416490252569,6.4280634719952845,4,7,1,1,39.03999999999986
0,From Throw In,Right Back,Open Play,Normal,Right Foot,95,54.6,116.1,41.3,28.95099307450437,4.1109609582188975,120.28492834940222,108.43494882292192,11.849979526480297,24.535872500262222,24.941932563456263,0.6520792843379001,0.13074409009212257,5.385164807134508,7.648529270389184,4,8,1,1,74.47999999999993
0,From Throw In,Center Forward,Open Play,Normal,Right Foot,99.9,47.4,117.7,41.4,21.418916872708568,2.6925824035672488,110.21164850691223,121.32869286780416,11.117044360891938,28.97020266687451,18.7840357750937,0.6015371655490334,0,5.185556864985667,6.661080993352348,2,5,0,1,52.19999999999992
1,From Throw In,Left Center Forward,Open Play,Normal,Left Foot,107.2,29.2,113.2,33.5,16.747537132366656,9.406912352095132,49.84400037508067,46.292166886249916,3.551833488830752,21.524499589016582,7.381734213584231,0,0,-1.2806248474865702,-10.700467279516346,0,0,0,1,19.53000000000001
0,Regular Play,Left Back,Open Play,Normal,Left Foot,91.2,25,117.5,40.1,32.472141906563536,2.5019992006393608,62.487997376148556,92.2906100426386,29.80261266649005,21.825396711793413,30.326556019436165,0.8515715717328054,0.13225615844475033,4.4283179650969045,5.92030404624627,4,9,1,1,129.35
0,From Throw In,Center Forward,Open Play,Normal,Left Foot,114.1,24.9,118.1,35.9,16.211724152600183,4.518849411078005,21.34200300123732,24.863696571751923,3.5216935705146035,14.570772736065633,11.704699910719626,0,0,-0.9999999999999986,-7.710382610480482,0,0,0,1,100.04999999999987
0,Regular Play,Center Forward,Open Play,Normal,Left Foot,106.3,34.1,111,36.4,14.9164338901763,9.693296652842108,66.70053673931747,68.19859051364818,1.4980537743307138,9.698289416760458,5.232590180780453,0.8944271909999144,0,1.1180339887498967,-10.234256201600585,0,1,0,1,215.99999999999997
0,Regular Play,Left Wing,Open Play,Normal,Right Foot,101.7,25.7,117.9,39,23.224555969921145,2.325940669922596,51.995192297257994,64.53665493812834,12.541462640870343,21.24783495775899,20.96020038072156,1.2708707481173251,0.11351915229662497,2.118962010041709,3.544009029333872,4,7,1,2,59.39999999999995
0,From Free Kick,Left Wing,Free Kick,Normal,Right Foot,81.2,36.7,118.6,40,38.94008217762258,1.4000000000000057,85.13860488821166,90,4.86139511178834,30.547663995573362,37.545305964927216,0.6199102258320465,0.2671476654773645,9.044888059008802,9.10054943396276,7,10,3,2,11.519999999999895
0,From Keeper,Right Wing,Open Play,Normal,Right Foot,109.8,50,116.4,44.2,14.284257068535279,5.531726674375731,134.43273359014208,139.3987053549956,4.965971764853521,15.240212427452745,8.786353054595523,0.34862296039325974,0.2556549962824569,3.9115214431215874,10.756393447619885,2,2,1,1,47.319999999999865
0,From Free Kick,Center Forward,Open Play,Normal,Left Foot,98.7,46.3,116.9,41.7,22.21215883249532,3.5355339059327338,106.47688139368795,118.73979529168814,12.262913898000193,26.2950850606333,18.772320048411707,1.2940814147952189,0,1.726267650163209,3.3241540277189343,1,5,0,1,46.53999999999989
0,From Corner,Center Defensive Midfield,Open Play,Half Volley,Right Foot,87.9,34.5,118,40.4,32.5677754843649,2.0396078054371136,80.27737568805975,101.30993247402016,21.03255678596041,23.121962454618366,30.67278924388846,0.7087167129438018,0.14812160129340604,5.462600113499066,5.720139858430031,7,9,3,1,87.21999999999996
0,From Throw In,Left Center Midfield,Open Play,Normal,Left Foot,91.5,35.7,116.1,39.1,28.822560607968196,4.002499219237905,81.42008722461988,77.005383208083515,4.414704016536362,25.494326262396484,24.833847869389867,0.8832929181607242,0.24132940474444078,2.0591260281973973,6.300793600809342,5,6,2,2,103.14000000000011
0,Regular Play,Left Wing,Open Play,Normal,Right Foot,112.3,23.2,118.1,36.9,18.48053029542172,3.635931792539573,24.623564786163623,31.504266719204256,6.880701933040633,24.12018765460276,14.877163708180397,0.31732477700990414,0,3.7202150475476565,20.608736011701442,0,2,0,1,126.42000000000013
0,From Throw In,Right Center Midfield,Open Play,Half Volley,Right Foot,117.9,48.9,119.1,43.9,9.144397191723463,4.0024992192379,166.72360295768405,167.0053832080834,0.2817802503993505,11.81515878891942,5.1419840528729734,0,0,-1.5652475842498528,-10.070253224224308,0,0,0,1,350.28000000000014
0,From Free Kick,Center Defensive Midfield,Open Play,Half Volley,Left Foot,89,36.7,118.4,40,31.175150360503476,1.5999999999999943,83.92365517885098,90,6.076344821149021,34.39488759940771,29.584624384974035,0.4632722194085532,0,10.65269918846862,13.2098448136229,4,7,0,1,56.199999999999996
0,Regular Play,Left Wing,Open Play,Normal,Right Foot,101.4,32.6,116.4,38.4,20.017991907281804,3.939543120718437,68.30489053920311,66.03751102542176,2.26737951378135,24.041607885344746,16.0822883943797,0.4875543594717576,0.2032789070454358,4.919349550499528,6.11310068623117,2,3,1,1,69.42999999999995
0,Regular Play,Left Wing,Open Play,Normal,Right Foot,93.4,21.2,117.4,38.3,32.57299494980466,3.1064449134018104,54.74859424168535,56.82148834060715,2.072894098921793,13.130831107338397,29.468797057226478,0.5269240987365841,0.22360679774997896,4.47213595499958,8.695401083331346,3,6,1,1,190.43999999999974
0,Regular Play,Center Defensive Midfield,Open Play,Normal,Left Foot,98.6,40.4,117.4,39.9,21.403737991294893,2.601922366251532,91.07082445478744,87.79740183823421,3.2734226165532334,16.12643122077088,18.80664776083182,1.3715967953923607,0.8922294979405193,1.303840481040541,4.6043457732885456,4,6,2,2,109.85
0,From Free Kick,Center Attacking Midfield,Open Play,Normal,Left Foot,103,51.3,115.9,42.2,20.412986062798357,4.652956049652732,123.61222004737098,118.21735585472933,5.3948641926416485,22.88571298866324,15.786703265723341,0.5448776934554733,0.4186643476387575,4.949747468305833,7.9479557120054505,3,5,3,1,83.24999999999996
