is_goal,play_pattern.name,position.name,shot.type.name,shot.technique.name,shot.body_part.name,location.x,location.y,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea
0,Regular Play,Left Defensive Midfield,Open Play,Normal,Left Foot,101.8,49.1,116.3,40.8,20.348218595248092,3.785498646149542,116.56505117707802,102.20046872738072,14.364582449697295,18.776198266983243,16.707483353276164,0.34365247782314645,0,6.800000000000002,7.778174593052027,2,3,0,1,72.23999999999997
0,Regular Play,Left Defensive Midfield,Open Play,Half Volley,Right Foot,80.9,43.8,117.4,40.4,39.28422075083073,2.630589287593175,95.55095485387257,98.74616226255519,3.19520740868262,16.79532060141765,36.65801413060996,1.7668469982173804,1.3736056394869132,0.7280109889280397,7.638062581571322,2,5,1,2,149.42000000000004
1,Regular Play,Center Forward,Open Play,Normal,Right Foot,111.9,39.9,115.7,39,8.100617260431449,4.414748010928821,89.2926806314559,76.90810693565311,12.384573695802786,11.53506735879624,3.905124837953324,0.19895376611595383,0,7,17.826384939184944,1,2,0,1,272.5
0,From Kick Off,Right Wing,Open Play,Normal,Right Foot,106.6,28.7,110.6,32,17.52854814295811,12.343419299367584,49.85961443097243,49.60009566626329,0.25951876470913504,68.67268810301913,5.18555686498567,0,0,-2.789265136196267,-6.621933252457311,0,0,0,1,112.53000000000011
0,From Corner,Right Center Back,Open Play,Normal,Head,112.4,48.6,119.1,43.4,11.476933388322855,3.517101079013795,138.53229458389092,165.1735200296442,26.641225445753292,32.92434521383095,8.481155581640976,2.2439719585973172,2.0029618881263915,0.7071067811865476,3.6619666847201118,3,6,4,2,65.59999999999991
0,From Corner,Center Forward,Open Play,Normal,Head,113.6,36.8,118.9,41.6,7.155417527999333,1.9416487838947578,63.43494882292202,145.49147701233179,82.05652818940976,9.864842305563812,7.150524456289913,0.3762101952452853,0.10959932487023809,8.547514258543245,9.124143795447338,3,4,1,1,85
0,From Counter,Center Forward,Open Play,Normal,Left Foot,107.3,30.4,114.9,35.9,15.92011306492514,6.543699259593151,52.914164509047644,51.203447901691796,1.7107166073558489,25.149594405051158,9.381364506296519,0.9805806756909197,0,1.0198039027185575,30,0,1,0,2,15.540000000000022
1,Regular Play,Left Defensive Midfield,Open Play,Normal,Right Foot,107.1,40,117.6,42.2,12.900000000000006,3.2557641192199474,90,132.5104470780008,42.510447078000794,20.250598988512547,10.72800074571213,0.6075760921206831,0.17500820370182724,5.02891638427206,5.714017850864663,3,4,1,1,63.45
0,From Kick Off,Center Attacking Midfield,Open Play,Normal,Head,105.3,39.2,117.5,40.1,14.721752613055283,2.5019992006393608,86.88493524009455,92.2906100426386,5.4056748025440555,11.112078557069724,12.233151678941942,1.0781874731490932,0.5557471981198524,2.3021728866442643,5.322593352868505,3,6,2,3,41.14000000000007
1,From Kick Off,Left Wing,Open Play,Backheel,Left Foot,113.1,37.4,117.5,38.7,7.373601562330316,2.8178005607210728,69.35300917502965,62.525568373722926,6.827440801306729,16.18992367887105,4.5880278987817915,0.15041420939904665,0,6.648308055437867,-3.0364452901377867,1,1,0,1,39.59000000000004
