is_goal,play_pattern.name,position.name,shot.type.name,shot.technique.name,shot.body_part.name,location.x,location.y,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea
0,Regular Play,Left Wing,Open Play,Normal,Right Foot,104,46.5,117.3,41.3,17.269916039170543,2.9966648127543407,112.10944834375167,115.70995378081118,3.6005054370595104,28.838480998359717,14.28040615668896,0.8164036283745586,0.44607240643337165,3.255764119219943,3.5846896657869807,2,4,2,2,77.91000000000017
0,Regular Play,Left Center Forward,Open Play,Normal,Right Foot,105.8,47.6,116.5,43.9,16.105899540230595,5.240229002629559,118.15619144827258,138.09405805891708,19.937866610644505,23.811318193379034,11.321660655575227,0.6349783068617966,0.3334845291004536,4.695742752749561,8.296987405076617,2,5,2,1,53.57999999999996
0,Regular Play,Right Defensive Midfield,Open Play,Half Volley,Right Foot,91.9,39.5,117.9,40.3,28.104448046528145,2.1213203435596366,88.98060971854514,98.13010235415592,9.149492635610784,24.359499016922562,26.012304780622575,0.4862888996138156,0.2115964374280956,9.102197536858883,13.78985134075056,4,8,3,2,58.909999999999975
0,From Corner,Center Defensive Midfield,Open Play,Normal,Head,111.5,47.7,118.8,42.5,11.469088891450795,2.7730849247724105,132.17287542183874,154.35899417569465,22.186118753855908,15.84810057188596,8.96270048590267,0.7374415156347204,0.3874921291460641,2.580697580112789,4.810405388322275,1,4,1,1,233.4300000000003
0,Regular Play,Right Wing,Open Play,Normal,Right Foot,111.2,26.4,118.3,37,16.198765385053267,3.4481879299133347,32.90524292298789,29.53878225955814,3.3664606634297485,15.565319156654068,12.758134659894445,1.1664252436107414,0,2.2360679774997907,3.1064449134018104,4,6,0,1,28.82000000000004
0,From Free Kick,Left Midfield,Free Kick,Normal,Left Foot,94.7,50.7,118.8,39.2,27.469619582367717,1.4422205101855965,112.92471220042724,56.30993247402037,56.614779726406866,30.847543571297685,26.703183330831546,0.7629952964376513,0.392942784526506,9.677293009927926,9.885848471426211,3,9,4,1,15.130000000000035
0,From Free Kick,Right Center Forward,Free Kick,Normal,Right Foot,87.3,29.3,118.5,39.2,34.40610410959079,1.6999999999999986,71.88101734636638,61.927513064147135,9.953504282219242,27.089542512768517,32.733010860597595,0.586770309400154,0.21630580981203035,10.696261028976439,10.735455276791953,6,9,3,1,39.099999999999945
0,Regular Play,Right Center Forward,Open Play,Normal,Right Foot,100.2,45.2,115.8,41.9,20.471443525066814,4.609772228646446,104.7150716505978,114.3410899366925,9.626018286094691,30.43065396856219,15.94521871910197,1.3907288486391802,0.1662056238286335,1.9235384061671255,2.220360331117452,5,6,1,3,138.05999999999992
1,From Free Kick,Right Wing,Open Play,Normal,Right Foot,109.2,49.4,103.8,46.1,14.31782106327635,17.310401497365685,131.03534527714388,110.63352425215825,20.401821024985622,21.990415098330523,6.328506932918699,0,0,-6.328506932918699,-9.118113840043893,0,0,0,0,187.99999999999997
0,From Free Kick,Left Center Forward,Open Play,Half Volley,Right Foot,114.9,47.5,116.6,45.9,9.06972987469858,6.809552114493289,145.78429786756263,150.04639183219848,4.262093964635852,31.98200588046212,2.334523505985743,0,0,-2.002498439450079,-2.9000000000000057,0,0,0,1,109.19999999999976
